sha,subject,entry_tool,language,sdk_exact,sdk_tag,dialect_bucket,excluded,run_lines,applicable,reason,output_mode,any_run_line_applicable,driver_argv,first_run_line
cc71d34ab52f556fe58e85143b38a6432b3c3af2,[MooreToCore] Fix out-of-bounds and aggregate moore.extract lowering (#10993),circt-opt,mlir,True,firtool-1.156.0,MooreToCore,,2,False,pipeline_not_hw_terminal,,False,circt-opt /artefacts/probe/input.mlir --convert-moore-to-core,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
56f16468bccf61bfee69569439d1bea0aba3ae39,[OM] Fix OM evaluator assert w/ non-constant msg,circt-opt,mlir,True,firtool-1.156.0,OM,,1,False,pipeline_not_hw_terminal,,False,circt-opt '-om-elaborate-object=all-public-classes=true allow-unevaluated=true' /artefacts/probe/input.mlir -allow-unregistered-dialect,circt-opt -om-elaborate-object='all-public-classes=true allow-unevaluated=true' %s -verify-diagnostics -split-input-file -allow-unregistered-dialect
4ac632ae7dd8bb9dcefe3db3092af577f4fbabda,[OM] Fix crash in assert w/ block arg message,circt-opt,mlir,True,firtool-1.156.0,OM,,1,False,pipeline_not_hw_terminal,,False,circt-opt '-om-elaborate-object=all-public-classes=true allow-unevaluated=true' /artefacts/probe/input.mlir,circt-opt -om-elaborate-object='all-public-classes=true allow-unevaluated=true' %s -verify-diagnostics -split-input-file
08f97b29f1c7b9d690e0ee7d41002c6523f4d164,[ImportVerilog] Re-apply array handling fixes without unpacked array reversal (#10926),circt-verilog,sv,True,firtool-1.155.0,ImportVerilog,,3,False,entry_tool_not_hw_capable,,False,circt-verilog --ir-moore /artefacts/probe/input.sv,circt-verilog --ir-moore %s | FileCheck %s
e2e5cca7355c1ffe3fae98284004331ee7cc437f,[MooreToCore] Lower moore.null and handle comparisons to LLVM ptr ops (#10863),circt-opt,mlir,True,firtool-1.154.0,MooreToCore,,1,False,pipeline_not_hw_terminal,,False,circt-opt /artefacts/probe/input.mlir --convert-moore-to-core,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
42d11d06acf738486f31a6455a8e884945bb63d3,[FIRRTL][InferDomain] Fix null pointer dereference (#10886),circt-opt,mlir,True,firtool-1.154.0,FIRRTL,,1,False,pipeline_not_hw_terminal,,False,circt-opt '-pass-pipeline=builtin.module(firrtl.circuit(firrtl-infer-domains{mode=check}))' /artefacts/probe/input.mlir,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl-infer-domains{mode=check}))' %s --verify-diagnostics
e7e3249173a23fa65818bf822e973091367a1f41,[ImportVerilog] Allow `assert`s inside functions,circt-translate,sv,True,firtool-1.154.0,Moore,,2,False,entry_tool_not_hw_capable,,False,circt-translate --import-verilog /artefacts/probe/input.sv,circt-translate --import-verilog %s | FileCheck %s
a5f07baa45f032264a0436e8c571c37022e24f57,[ImportVerilog] Fix operand domain for real logical operators (#10842),circt-translate,sv,True,firtool-1.151.0,ImportVerilog,,2,False,entry_tool_not_hw_capable,,False,circt-translate --import-verilog /artefacts/probe/input.sv,circt-translate --import-verilog %s | FileCheck %s
f1fe5740b35c12fcf16cb2a2bfcd9201548b2296,[ExportVerilog] Fix precedence of equality operators (#10833),circt-opt,mlir,True,firtool-1.151.0,ExportVerilog,,1,False,pipeline_not_hw_terminal,,False,circt-opt /artefacts/probe/input.mlir -test-apply-lowering-options=options=emitBindComments -export-verilog,circt-opt %s -test-apply-lowering-options='options=emitBindComments' -export-verilog -verify-diagnostics | FileCheck %s --strict-whitespace
dc54091c7728f7c08a6cc437e321f1ba16757962,[MooreToCore] Legalize sim.queue as a target type to fix hierarchical queue refs (#10821),circt-opt,mlir,True,firtool-1.151.0,MooreToCore,,1,False,pipeline_not_hw_terminal,,False,circt-opt /artefacts/probe/input.mlir --convert-moore-to-core,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
a01b37c93c58a8db47cbdeea2b4535f8dda21cbd,[Moore] Fix VariableOp::getDefaultValue for non-integer types (#10827),circt-opt,mlir,True,firtool-1.151.0,Moore,,1,False,pipeline_not_hw_terminal,,False,circt-opt --mem2reg /artefacts/probe/input.mlir,circt-opt --mem2reg --verify-diagnostics %s | FileCheck %s
3483195718eb5675a435ef9b080afcb54668df04,[ImportVerilog] Fix corrupted constant string materialization (#10776),circt-translate,sv,True,firtool-1.151.0,ImportVerilog,,2,False,entry_tool_not_hw_capable,,False,circt-translate --import-verilog /artefacts/probe/input.sv,circt-translate --import-verilog %s | FileCheck %s
bb4d4f99f6eaf774cf1429b2a4471905a02ca5e5,[MooreToCore] Fix bool cast lowering for packed aggregates (#10777),circt-opt,mlir,True,firtool-1.151.0,MooreToCore,,1,False,pipeline_not_hw_terminal,,False,circt-opt /artefacts/probe/input.mlir --convert-moore-to-core,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
a14ce3078b4c083e0db4e14a69d1cbf1b2532611,[ImportVerilog] Fix return type mismatch for functions returning string (#10775),circt-translate,sv,True,firtool-1.151.0,ImportVerilog,,2,False,entry_tool_not_hw_capable,,False,circt-translate --import-verilog /artefacts/probe/input.sv,circt-translate --import-verilog %s | FileCheck %s
