sha,date,test_file,lang,entry_tool,reducibility,lead_not,pipe,pct_t,pct_S,pct_brace,split_file,split_input_file,verify_diagnostics,shell_and,redirect,run_line
cc71d34ab52f,2026-08-17,test/Conversion/MooreToCore/basic.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
cc71d34ab52f,2026-08-17,test/circt-verilog/roundtrip-oob-reads.sv,.sv,circt-verilog,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-verilog -Wno-error=range-oob %s | circt-opt --test-apply-lowering-options='options=emittedLineLength=0' --export-verilog -o /dev/null | FileCheck %s
56f16468bccf,2026-08-13,test/Dialect/OM/elaborate-object-errors-unevaluated.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt -om-elaborate-object='all-public-classes=true allow-unevaluated=true' %s -verify-diagnostics -split-input-file -allow-unregistered-dialect
4ac632ae7dd8,2026-08-13,test/Dialect/OM/elaborate-object-errors-unevaluated.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,1,1,0,0,circt-opt -om-elaborate-object='all-public-classes=true allow-unevaluated=true' %s -verify-diagnostics -split-input-file
08f97b29f1c7,2026-08-03,test/Conversion/ImportVerilog/array.sv,.sv,circt-verilog,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s | FileCheck %s
08f97b29f1c7,2026-08-03,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
08f97b29f1c7,2026-08-03,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
e2e5cca7355c,2026-07-28,test/Conversion/MooreToCore/classes.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,circt-opt %s --convert-moore-to-core --verify-diagnostics | FileCheck %s
42d11d06acf7,2026-07-22,test/Dialect/FIRRTL/infer-domains-check-errors.mlir,.mlir,circt-opt,direct,0,0,0,0,0,0,0,1,0,0,circt-opt -pass-pipeline='builtin.module(firrtl.circuit(firrtl-infer-domains{mode=check}))' %s --verify-diagnostics
e7e3249173a2,2026-07-21,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
e7e3249173a2,2026-07-21,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
a5f07baa45f0,2026-07-17,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
a5f07baa45f0,2026-07-17,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
f1fe5740b35c,2026-07-15,test/Conversion/ExportVerilog/verilog-basic.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,1,0,0,circt-opt %s -test-apply-lowering-options='options=emitBindComments' -export-verilog -verify-diagnostics | FileCheck %s --strict-whitespace
